code,title,carat,weight,price,shipping,total_price,theoretical_gold_value,difference,price_vs_gold_pct,store,category,verification_status,detail_flags,image_verification_status,image_label,image_confidence,image_url,url
045200306189,18ct Yellow Gold Necklace 40cm 30.96G,18,30.96,549.0,17.2,566.2,4556.46,-3990.26,-87.57,"Maroochydore, QLD",Necklace,text_checked,,rejected_image_mixed_material,pearl jewellery or jewellery containing pearls,0.9019,https://www.cashconverters.com.au/globalassets/Catalogs/7c4b0ef8-ea5f-496b-9f4a-b44e00224235.jpg,https://www.cashconverters.com.au/shop/jewellery-fashion/jewellery/necklaces-chains/necklace/045200306189
034000416304,9ct Yellow Gold Brooch 10.77G,9,10.77,650.0,17.2,667.2,792.52,-125.32,-15.81,"Campbelltown, NSW",Brooch,text_checked,,rejected_image_mixed_material,pearl jewellery or jewellery containing pearls,0.6335,https://www.cashconverters.com.au/globalassets/Catalogs/0aad8f21-8e8e-4f2d-89e7-b49601826219.jpg,https://www.cashconverters.com.au/shop/jewellery-fashion/jewellery/brooches/brooch/034000416304
036700219268,9ct Yellow Gold Earring Pierced 2.52G,9,2.52,149.0,17.2,166.2,185.44,-19.24,-10.37,"Capalaba, QLD",Earring,text_checked,,rejected_image_mixed_material,pearl jewellery or jewellery containing pearls,0.9698,https://www.cashconverters.com.au/globalassets/Catalogs/23eed19a-278d-48ec-b3bc-b3e20061e081.jpg,https://www.cashconverters.com.au/shop/jewellery-fashion/jewellery/earrings/earring/036700219268
